"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 21:47:26 GMT 2023","Tue Feb 28 21:47:29 GMT 2023","3033","","Allure Reports","","quru.qa.lesson16allure.SelenideTest","testAnnotatedStep","Шаги с аннотацией @Step",""
"passed","Tue Feb 28 21:47:29 GMT 2023","Tue Feb 28 21:47:32 GMT 2023","2508","","Allure Reports","","quru.qa.lesson16allure.SelenideTest","testLambdaStep","Проверка Issue используя лямбда шаги через step (name, () -> {})",""
"passed","Tue Feb 28 21:47:20 GMT 2023","Tue Feb 28 21:47:26 GMT 2023","6373","","Allure Reports","","quru.qa.lesson16allure.SelenideTest","testIssueSearch","Чистый Selenide (с Listener)",""
